##  R-band data #################
##### measured by Edo Nordeermeer###################################################################
#      row1R     smaarcR          mR      mR_err         paR     paR_err      ellipR  ellipR_err
#
           1       0.588       14.51     0.01503       84.58           0        0.63           0
           2      0.6468       14.52     0.01733       84.58           0        0.63           0
           3      0.7174       14.54     0.02044       84.58           0        0.63           0
           4      0.7879       14.57     0.02401       84.58           0        0.63           0
           5      0.8644       14.59     0.02791       84.58           0        0.63           0
           6      0.9526       14.62      0.0323       84.58           0        0.63           0
           7       1.047       14.66     0.03709       84.58           0        0.63           0
           8       1.152        14.7     0.04184       84.58           0        0.63           0
           9       1.264       14.74     0.04564       84.58           0        0.63           0
          10       1.394       14.79     0.04949       84.58           0        0.63           0
          11       1.529       14.84     0.05352       84.58           0        0.63           0
          12       1.688       14.92      0.0612       84.58           0        0.63           0
          13       1.852       14.99      0.0636       84.58           0        0.63           0
          14        2.04       15.09     0.06992       84.58           0        0.63           0
          15        2.24       15.16     0.07223       84.58           0        0.63           0
          16        2.47       15.26     0.07402       84.58           0        0.63           0
          17       2.711       15.36     0.07586       84.58           0        0.63           0
          18       2.987       15.49     0.07702       84.58           0        0.63           0
          19       3.281       15.58      0.0749       84.58           0        0.63           0
          20        3.61       15.69     0.07307       84.58           0        0.63           0
          21       3.975       15.79     0.07051       84.58           0        0.63           0
          22       4.369       15.92     0.06875       84.58           0        0.63           0
          23        4.81       16.02     0.06541       84.58           0        0.63           0
          24       5.286       16.14     0.06295       84.58           0        0.63           0
          25       5.815       16.27     0.06097       84.58           0        0.63           0
          26       6.397       16.39      0.0581       84.58           0        0.63           0
          27       7.038       16.51     0.05542       84.58           0        0.63           0
          28       7.744       16.63     0.05252       84.58           0        0.63           0
          29       8.514       16.76     0.05006       84.58           0        0.63           0
          30       9.367       16.89     0.04809       84.58           0        0.63           0
          31        10.3       17.02     0.04609       84.58           0        0.63           0
          32       11.34       17.15     0.04384       84.58           0        0.63           0
          33       12.47       17.26      0.0417       84.58           0        0.63           0
          34       13.72       17.38     0.03994       84.58           0        0.63           0
          35       15.09        17.5     0.03775       84.58           0        0.63           0
          36       16.59       17.65     0.03598       84.58           0        0.63           0
          37       18.26       17.78     0.03432       84.58           0        0.63           0
          38       20.08       17.93     0.03273       84.58           0        0.63           0
          39       22.09       18.09     0.03119       84.58           0        0.63           0
          40        24.3       18.25     0.02921       84.58           0        0.63           0
          41       26.72        18.4     0.02753       84.58           0        0.63           0
          42        29.4       18.55     0.02613       84.58           0        0.63           0
          43       32.34       18.71      0.0243       84.58           0        0.63           0
          44       35.57       18.85     0.02188       84.58           0        0.63           0
          45       39.13          19     0.01995       84.58           0        0.63           0
          46       43.05        19.1     0.01807       84.58           0        0.63           0
          47       47.35       19.26     0.01675       84.58           0        0.63           0
          48       52.09       19.46     0.01739       84.58           0        0.63           0
          49       57.29       19.66     0.01625       84.58           0        0.63           0
          50       63.02       19.87     0.01474       84.58           0        0.63           0
          51       69.33       20.05     0.01338       84.58           0        0.63           0
          52       76.26       20.25     0.01223       84.58           0        0.63           0
          53       83.88       20.46     0.01237       84.58           0        0.63           0
          54       92.27       20.65     0.01372       84.58           0        0.63           0
          55       101.5       20.87     0.01644       84.58           0        0.63           0
          56       111.6       21.07     0.01993       84.58           0        0.63           0
          57       122.8       21.31     0.02475       84.58           0        0.63           0
          58       135.1       21.57     0.03098       84.58           0        0.63           0
          59       148.6       21.83     0.03946       84.58           0        0.63           0
          60       163.5       22.11     0.05088       84.58           0        0.63           0
          61       179.8       22.42      0.0674       84.58           0        0.63           0
          62       197.8       22.77     0.09249       84.58           0        0.63           0
          63       217.6       23.08      0.1237       84.58           0        0.63           0
          64       239.3       23.46       0.175       84.58           0        0.63           0
          65       263.3       23.88      0.2583       84.58           0        0.63           0
          66       289.6       24.27      0.3695       84.58           0        0.63           0
          67       318.5       24.69      0.5445       84.58           0        0.63           0
